Unnamed: 0,Hospital,Doctor,Specilization,Experience
,"Aster Ramesh Guntur, Aster Ramesh Vijayawada Drin, Aster Ramesh Vijayawada DC Km",Dr. (Col) Mrithyunjaya V. Kalmath,"Sr. Consultant - Cardiothoracic and vascular surgery Minimal Invasive, Advanced Aortic & Heart Transplant Surgeon",
,"Aster Ramesh Guntur, Aster Ramesh Vijayawada Drin, Aster Ramesh Vijayawada  Kkamala k",Dr. Kamala Kancheti,Consultant - Anaesthesiology,
,"Aster Ramesh Guntur, Aster Ramesh Vijayawada Drin, Aster Ramesh Vijayawada  Gmohan r",Dr. Mohan Raghav Guthikonda,Sr. Consultant - ENT Surgeon,
,"Aster Ramesh Guntur, Aster Ramesh Vijayawada Drin, Aster Ramesh Vijayawada  Mteja s",Dr. Teja Sai Manchala,Consultant - Emergency medicine,
,"Aster Ramesh Guntur, Aster Ramesh Vijayawada Drin, Aster Ramesh Vijayawada  Btanveer b",Dr. Tanveer Begam,Consultant - Paediatrics,
,"Aster Ramesh Guntur, Aster Ramesh Vijayawada Drin, Aster Ramesh Vijayawada  Canitha c",Dr. Anitha Chaganti,Consultant - Paediatrics & Neonatology,
,"Aster Ramesh Guntur, Aster Ramesh Vijayawada Drin, Aster Ramesh Vijayawada  Rjyothi p",Dr. Jyothi Prakash Reddy R,Consultant - Pediatric Cardiology,
,"Aster Ramesh Guntur, Aster Ramesh Vijayawada Drin, Aster Ramesh Vijayawada  Ksindhu k",Dr. Sindhu Kilaru,Consultant - Medical Oncologist,
,"Aster Ramesh Guntur, Aster Ramesh Vijayawada Drin, Aster Ramesh Vijayawada  Lu v",Dr. U V Naga Lakshmi,Consultant - Radiology,
,"Aster Ramesh Guntur, Aster Ramesh Vijayawada Drin, Aster Ramesh Vijayawada  Bbala b",Dr. Bala Bhaskara Rao Battula,Consultant - Pulmonology,
,"Aster Ramesh Guntur, Aster Ramesh Vijayawada Drin, Aster Ramesh Vijayawada  Pchanukya p",Dr. Chanukya Popuri,Consultant - Critical Care,
,"Aster Ramesh Guntur, Aster Ramesh Vijayawada Drin, Aster Ramesh Vijayawada  Kl",Dr.Doradla Lakshmi Prasanna Sai Kumar,Consultant,
